,signatures_number,BLS-multi,Schnorr-multi,BLS-Threshold,Schnorr-Threshold
0,1,176858,73907,113969,57241
1,3,210190,107239,113969,57241
2,5,243522,140571,113969,57241
3,7,276854,173903,113969,57241
4,9,310186,207235,113969,57241
5,11,343518,240567,113969,57241
6,13,376850,273899,113969,57241
7,15,410182,307231,113969,57241
8,17,443514,340563,113969,57241
9,19,476846,373895,113969,57241
10,21,510178,407227,113969,57241
11,23,543510,440559,113969,57241
12,25,576842,473891,113969,57241
13,27,610174,507223,113969,57241
14,29,643506,540555,113969,57241
